Date,Weather_Code,Max_Temp_C,Min_Temp_C,Mean_Temp_C,Precipitation_mm,Rain_mm,Precip_Hours,Daylight_sec,Sunshine_sec,Max_Wind_Speed_mps,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
2019-07-01,3,9.0,-3.4,2.0,0.0,0.0,0.0,35320.58,30271.15,13.7,15987,9962,407,21223,3715,
2019-07-02,3,13.4,-1.1,3.5,0.0,0.0,0.0,35348.93,31484.66,16.4,16895,10656,409,21715,3993,
2019-07-03,3,14.0,-2.7,3.3,0.0,0.0,0.0,35380.16,31794.91,11.7,16613,10658,427,22025,3638,
2019-07-04,3,12.7,1.1,6.1,0.0,0.0,0.0,35414.2,30983.6,15.5,16604,10445,437,21868,3576,
2019-07-05,3,14.0,5.6,8.8,0.0,0.0,0.0,35450.99,22055.98,10.9,16040,10532,400,20697,2856,
2019-07-06,3,14.6,3.1,9.0,0.0,0.0,0.0,35490.46,21561.65,10.0,5214,6141,0,6925,0,
2019-07-07,55,13.6,1.1,7.2,2.2,2.2,4.0,35532.55,28219.12,9.2,4065,4332,0,5426,0,
2019-07-08,51,13.3,2.9,8.2,0.8,0.8,7.0,35577.2,18343.01,15.5,13078,9442,422,18848,0,0.0
2019-07-09,3,12.2,2.2,6.8,0.0,0.0,0.0,35624.32,30403.1,18.8,13835,10550,455,19862,0,1.0
2019-07-10,51,9.9,5.1,7.0,0.3,0.3,3.0,35673.88,22328.79,23.0,13856,10066,421,19502,0,1.0
2019-07-11,61,8.8,5.9,7.5,4.0,4.0,5.0,35725.78,29648.17,34.6,12776,9536,421,19204,0,0.0
2019-07-12,53,10.2,7.7,8.6,2.2,2.2,7.0,35779.97,11740.83,31.9,12614,9413,344,18057,0,1.0
2019-07-13,61,7.6,3.0,4.8,5.7,5.7,7.0,35836.38,28836.18,29.9,4606,5185,0,6327,0,2.0
2019-07-14,51,7.0,1.8,4.3,0.9,0.9,9.0,35894.94,8769.05,31.3,3584,3486,0,4761,0,3.0
2019-07-15,53,10.5,3.9,6.7,1.8,1.8,6.0,35955.6,31296.34,25.1,12743,9704,370,19481,0,2.0
2019-07-16,2,11.4,1.9,7.0,0.0,0.0,0.0,36018.27,32694.55,21.9,14025,10434,421,20592,0,0.0
2019-07-17,51,9.8,5.6,7.5,0.3,0.3,3.0,36082.91,21572.09,24.7,13768,10689,428,20550,0,0.0
2019-07-18,3,11.7,3.8,7.3,0.0,0.0,0.0,36149.44,32838.12,19.3,14092,10938,396,20989,0,0.0
2019-07-19,3,11.7,0.8,6.1,0.0,0.0,0.0,36218.32,27937.11,16.7,13846,11150,325,20012,0,0.0
2019-07-20,3,10.8,1.0,4.1,0.0,0.0,0.0,36289.83,31656.59,14.8,5057,6692,0,7379,0,1.0
2019-07-21,3,14.1,-0.9,5.3,0.0,0.0,0.0,36363.88,33072.79,15.8,4045,4739,0,6000,0,0.0
2019-07-22,0,14.5,1.6,6.2,0.0,0.0,0.0,36440.32,33156.3,13.5,18376,11664,440,24147,5332,0.0
2019-07-23,3,13.1,-0.5,7.1,0.0,0.0,0.0,36519.09,33242.25,23.4,19392,12180,461,25344,5935,0.0
2019-07-24,53,11.6,1.8,7.8,1.0,1.0,3.0,36600.05,33127.41,25.5,19380,12044,463,25312,5786,1.0
2019-07-25,3,10.4,-1.1,3.1,0.0,0.0,0.0,36683.09,32823.93,9.7,19619,12257,432,25284,5845,0.0
2019-07-26,51,8.4,-0.1,3.5,0.6,0.6,3.0,36768.13,1554.08,8.8,18698,12296,298,24258,5634,2.0
2019-07-27,51,14.2,1.4,6.3,0.2,0.2,2.0,36855.05,31420.37,12.4,5383,6522,0,8231,0,1.0
2019-07-28,3,12.1,-0.7,4.5,0.0,0.0,0.0,36943.76,32988.02,15.7,4187,4398,0,5751,0,3.0
2019-07-29,51,10.6,0.0,5.3,2.5,2.5,10.0,37034.13,9519.84,14.5,18743,11530,408,24273,5962,13.0
2019-07-30,3,11.6,0.9,5.6,0.0,0.0,0.0,37126.09,33227.16,13.6,19887,12553,457,25617,5765,15.0
2019-07-31,1,12.1,-0.3,4.9,0.0,0.0,0.0,37219.54,34002.95,10.1,19599,12447,478,25342,5736,0.0
2019-08-01,3,11.9,-1.9,3.4,0.0,0.0,0.0,37314.36,34011.6,16.5,19950,12601,459,25864,5754,1.0
2019-08-02,3,12.5,-0.5,5.0,0.0,0.0,0.0,37410.48,33254.28,13.8,18953,12744,340,25010,5738,0.0
2019-08-03,3,11.0,0.1,3.6,0.0,0.0,0.0,37507.79,33305.5,20.9,5447,7090,0,7922,0,0.0
2019-08-04,3,11.0,0.2,4.2,0.0,0.0,0.0,37606.2,26300.51,12.2,3792,4595,0,6009,0,0.0
2019-08-05,3,11.1,0.3,4.4,0.0,0.0,0.0,37705.61,32692.44,17.9,18527,11891,453,24856,5978,0.0
2019-08-06,3,11.7,-2.2,2.4,0.0,0.0,0.0,37805.95,33886.85,17.4,19528,12403,474,26649,5947,0.0
2019-08-07,3,14.2,-2.0,4.2,0.0,0.0,0.0,37907.13,34743.33,18.4,19435,12306,414,26179,5776,0.0
2019-08-08,61,8.1,-1.2,4.0,4.8,4.8,7.0,38009.75,20915.67,23.1,17055,11668,450,23975,2072,13.0
2019-08-09,53,4.9,1.5,4.0,6.4,6.4,18.0,38114.18,23422.25,30.3,16883,10790,375,23007,5284,14.0
2019-08-10,71,5.3,0.3,2.6,0.8,0.4,6.0,38220.34,20147.3,27.0,4836,5422,0,7219,0,
2019-08-11,73,8.3,1.2,4.0,2.6,2.3,12.0,38328.11,33694.41,18.7,3707,3943,0,5770,0,1.0
2019-08-12,3,11.3,-2.4,4.0,0.0,0.0,0.0,38437.38,35120.86,17.5,18699,11379,470,24549,5823,0.0
2019-08-13,3,11.1,-3.4,2.8,0.0,0.0,0.0,38548.05,35189.63,13.4,19097,12372,468,26757,5716,0.0
2019-08-14,3,8.4,-2.6,1.6,0.0,0.0,0.0,38660.01,35289.24,12.1,18996,12111,477,26214,5567,0.0
2019-08-15,1,12.1,-3.0,4.0,0.0,0.0,0.0,38773.18,35363.23,17.4,19383,12433,423,26122,5532,0.0
2019-08-16,51,14.3,-1.5,6.2,0.2,0.2,2.0,38887.45,35398.73,18.6,18703,12607,346,25086,5447,0.0
2019-08-17,3,15.3,1.7,7.7,0.0,0.0,0.0,39002.72,35554.87,11.2,5506,6583,0,7922,0,
2019-08-18,55,17.2,-0.0,8.1,1.6,1.6,3.0,39118.89,31963.96,28.1,3691,4355,0,5976,0,1.0
2019-08-19,51,5.9,2.0,4.3,0.6,0.6,5.0,39235.89,35622.54,26.3,18332,11412,461,24242,5646,0.0
2019-08-20,3,8.9,1.3,5.7,0.0,0.0,0.0,39353.6,32115.33,26.4,19431,12269,479,26158,5835,0.0
2019-08-21,51,13.2,7.2,9.4,0.2,0.2,2.0,39471.95,22567.41,22.7,19447,12102,472,26048,5656,0.0
2019-08-22,3,13.9,1.5,9.0,0.0,0.0,0.0,39590.84,33356.54,21.1,18831,12491,439,26140,5497,1.0
2019-08-23,0,11.4,-3.6,3.5,0.0,0.0,0.0,39710.18,36348.32,18.1,18614,12644,384,25079,5224,0.0
2019-08-24,0,14.3,-2.5,5.3,0.0,0.0,0.0,39829.89,36432.67,21.7,5439,6396,0,8283,0,
2019-08-25,1,14.9,-0.2,6.1,0.0,0.0,0.0,39949.9,36518.0,18.0,3955,4411,0,6228,0,2.0
2019-08-26,53,12.1,1.8,6.6,1.7,1.7,5.0,40070.1,29035.59,13.0,18395,11678,403,24636,5465,0.0
2019-08-27,51,11.7,1.8,6.3,0.2,0.2,1.0,40190.43,30062.54,8.7,18837,12065,450,25778,5460,0.0
2019-08-28,53,14.1,2.1,7.4,1.2,1.2,3.0,40311.5,36561.51,19.8,19485,12217,492,26363,5358,0.0
2019-08-29,51,12.5,2.3,7.3,0.9,0.9,4.0,40433.76,34310.42,19.7,19565,12286,427,25376,5492,0.0
2019-08-30,51,11.3,2.1,6.7,0.2,0.2,2.0,40557.11,28055.79,17.1,18595,12416,363,24492,5150,1.0
2019-08-31,3,14.6,2.3,8.4,0.0,0.0,0.0,40681.46,36948.42,9.3,5683,6736,0,9225,2,1.0
2019-09-01,3,17.1,-0.6,7.7,0.0,0.0,0.0,40806.71,32627.66,16.6,3761,4682,0,5936,0,0.0
2019-09-02,51,16.7,1.7,8.7,0.1,0.1,1.0,40932.79,37271.18,16.7,18055,10993,417,23455,5830,0.0
2019-09-03,3,18.1,3.4,10.3,0.0,0.0,0.0,41059.6,34175.37,17.2,18655,11206,473,24236,5993,0.0
2019-09-04,3,18.4,2.7,9.6,0.0,0.0,0.0,41187.05,37168.28,21.2,18691,11263,464,24375,5600,1.0
2019-09-05,51,17.3,3.4,10.2,0.3,0.3,1.0,41315.07,30412.63,11.8,18911,11382,451,24641,5685,0.0
2019-09-06,61,17.3,5.1,9.4,6.1,6.1,9.0,41443.58,18263.38,28.1,17771,11162,364,22459,5421,0.0
